id,name,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1214617,Cool cozy suite on The Drive,6630357,Grandview-Woodland,49.26589,-123.0677,Entire home/apt,135,3,179,2019-06-21,2.45,1,268
1216428,"Garden Paradise, by Olympic Village",6637800,Mount Pleasant,49.26538,-123.09059,Private room,75,3,46,2019-06-19,0.92,1,306
1223989,Stunning Suite Heart of DT w/Parkng,6677154,West End,49.27915,-123.12949,Entire home/apt,119,89,100,2017-05-17,1.36,1,154
1229714,Luxury apartment Downtown Vancouver,1200456,Downtown,49.28429,-123.1157,Entire home/apt,522,2,3,2019-06-23,2.5,8,365
1233101,Beautiful Vancouver Townhouse,3778731,Kitsilano,49.26658,-123.14956,Entire home/apt,184,31,2,2018-02-03,0.08,1,327
1269955,Downtown heritage 1 bdrm  apartment,6912044,Downtown,49.28296,-123.12185,Entire home/apt,100,30,59,2019-06-03,0.8,1,129
1273760,Private Hotel-Style Suite in a Downtown Boutique High-Rise,6033,Downtown,49.2858,-123.11767,Private room,150,1,347,2019-07-07,4.74,1,278
1281095,New and Cozy Flat in the Heart of Mount Pleasant,6971193,Mount Pleasant,49.26461,-123.09213,Entire home/apt,180,3,48,2019-05-27,0.65,1,135
1291394,Clean New Kits 3 bedroom/ 2bath!,7021457,Kitsilano,49.26876,-123.18517,Entire home/apt,184,30,38,2018-05-31,0.52,2,39
1301620,Suite Life on Kitchener Street,7077434,Grandview-Woodland,49.27169,-123.0659,Entire home/apt,100,1,179,2019-06-23,2.47,1,81
1301845,Private Garden Suite,7078248,Dunbar Southlands,49.24573,-123.18943,Entire home/apt,119,30,18,2019-01-03,0.25,1,175
1301861,Martine's lodging East Village,2189535,Hastings-Sunrise,49.28535,-123.05528,Private room,50,30,10,2019-04-16,0.14,4,86
1316419,120 501 Pacific,600607,Downtown,49.28183,-123.12161,Entire home/apt,88,181,2,2014-07-01,0.03,50,221
1316477,224 Yaletown Park.  Long term stay welcome,600607,Downtown,49.2772,-123.11841,Entire home/apt,85,90,5,2019-03-01,0.11,50,289
